Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
14.06.2025;12:55:02;MM Solothurn;257;149;Bio Heidelbeeren;1;2.30;3.95
14.06.2025;12:55:02;MM Solothurn;257;149;Mango;1;0.00;1.50
14.06.2025;12:55:02;MM Solothurn;257;149;Pfirsiche flach;0.487;0.00;1.95
14.06.2025;12:55:02;MM Solothurn;257;149;MBud Bananen;0.654;0.00;0.85
14.06.2025;12:55:02;MM Solothurn;257;149;Frühkartoffeln;0.540;0.35;1.00
14.06.2025;12:55:02;MM Solothurn;257;149;Butterzopf;1;0.00;3.60
14.06.2025;12:55:02;MM Solothurn;257;149;Berg Vorzugsbutter;1;0.00;3.25
14.06.2025;12:55:02;MM Solothurn;257;149;Kuchenteig rund;1;0.00;1.70
14.06.2025;12:55:02;MM Solothurn;257;149;MClass Lamm Racks;0.337;3.03;16.15
14.06.2025;12:55:02;MM Solothurn;257;149;IPS aha! Polenta fein;1;0.00;1.95
14.06.2025;12:55:02;MM Solothurn;257;149;NON Panaché 6x50cl;1;0.00;11.40
14.06.2025;12:55:02;MM Solothurn;257;149;Blévita mini Paprika;2;0.00;6.00
14.06.2025;12:55:02;MM Solothurn;257;149;Zweifel Vaya Bean;1;0.00;3.70
14.06.2025;12:55:02;MM Solothurn;257;149;MBud Chocolat Noir 71%;3;0.00;4.80
14.06.2025;12:55:02;MM Solothurn;257;149;Stimorol Mint Mix;1;0.00;5.95
07.06.2025;13:13:47;MM Solothurn;481;144;Heidelbeeren;1;0.00;2.80
07.06.2025;13:13:47;MM Solothurn;481;144;MBud Bananen;0.769;0.00;1.00
07.06.2025;13:13:47;MM Solothurn;481;144;Äpfel Braeburn;1.063;0.00;3.40
07.06.2025;13:13:47;MM Solothurn;481;144;Rhabarber;0.794;0.00;6.55
07.06.2025;13:13:47;MM Solothurn;481;144;Kiwi Gold;1;0.00;2.00
07.06.2025;13:13:47;MM Solothurn;481;144;Pfirsiche flach;0.550;0.00;2.20
07.06.2025;13:13:47;MM Solothurn;481;144;Salatbouquet;1;0.00;4.80
07.06.2025;13:13:47;MM Solothurn;481;144;Butterzopf;1;0.00;3.60
